ＩＤ,age,sex,marrige,JobStatus,IncomeCategory,HomeType,Child,Q1,Q2,Q4,Q4_2,Q4_3,Q5,Q6_1,Q6_2,Q6_3,Q7_1,Q7_2,Q7_3,Q8,Q8_2,Q8_3,Q9,Q10,Q10_2,Q10_3,Q11,Q13,Q14,Q15,Q15_2,Q15_3,Q16,Q17,Q18,Q18_2,Q18_3,Q19,Q19_2,Q19_3,Q20,Q21,Q22,q23,Q20-1(FA),Q21-1(FA),Q22-1(FA)
m8931766417,43.0,1.0,1.0,2.0,7,1.0,1.0,1.0,7.0,5.0,,,3.0,5.0,,,2.0,,,5.0,6.0,,2.0,2.0,4.0,7.0,1.0,3.0,3.0,1.0,4.0,,4.0,2.0,2.0,4.0,6.0,2.0,4.0,,0.0,0.0,0.0,0.0,特にない,付加価値のある、唯一無二の物を作りたい,特にない
m87773826825,48.0,1.0,1.0,2.0,9,1.0,1.0,1.0,7.0,1.0,,,4.0,8.0,,,5.0,,,5.0,,,3.0,3.0,4.0,,3.0,3.0,3.0,1.0,,,1.0,3.0,3.0,,,3.0,,,0.0,0.0,0.0,0.0,なし,なし,なし
m87773936986,40.0,0.0,0.0,2.0,7,1.0,0.0,2.0,1.0,4.0,,,3.0,6.0,,,4.0,,,4.0,,,4.0,2.0,,,4.0,4.0,4.0,5.0,,,5.0,4.0,4.0,,,2.0,,,0.0,0.0,0.0,0.0,ない,ない,ない
m89780142550,39.0,1.0,1.0,2.0,8,1.0,1.0,1.0,1.0,1.0,2.0,,3.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,6.0,7.0,2.0,1.0,4.0,6.0,2.0,2.0,1.0,2.0,3.0,,3.0,3.0,2.0,4.0,5.0,2.0,3.0,,0.0,1.0,0.0,0.0,ノーコメント,ノーコメント,ノーコメント
m8772999351,46.0,1.0,1.0,2.0,5,0.0,0.0,1.0,7.0,4.0,,,4.0,8.0,,,1.0,2.0,5.0,4.0,5.0,7.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,,,1.0,2.0,3.0,5.0,6.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,特になし,特になし,特になし
m89784662052,32.0,1.0,1.0,2.0,6,0.0,1.0,1.0,1.0,1.0,,,2.0,6.0,7.0,,5.0,,,1.0,,,3.0,5.0,,,3.0,3.0,4.0,4.0,,,5.0,3.0,4.0,,,2.0,,,0.0,0.0,0.0,0.0,ない,ない,ない
m8777216796,53.0,1.0,1.0,2.0,5,0.0,1.0,1.0,1.0,1.0,,,4.0,8.0,,,2.0,,,4.0,5.0,,2.0,2.0,7.0,,3.0,3.0,3.0,2.0,,,3.0,2.0,4.0,,,3.0,,,0.0,0.0,0.0,0.0,特にはない,特にはない,た
m87773941204,49.0,1.0,1.0,2.0,13,1.0,1.0,1.0,1.0,1.0,,,4.0,3.0,,,1.0,,,3.0,4.0,6.0,1.0,1.0,2.0,6.0,2.0,1.0,3.0,3.0,,,5.0,1.0,1.0,,,4.0,,,0.0,0.0,0.0,0.0,ない,ない,無理に残さない伝統もあると思う
m89784270343,43.0,1.0,1.0,2.0,7,1.0,1.0,1.0,7.0,1.0,,,3.0,7.0,,,2.0,4.0,,3.0,4.0,7.0,3.0,2.0,,,1.0,2.0,2.0,4.0,,,1.0,2.0,1.0,,,3.0,,,0.0,0.0,0.0,0.0,なし,なし,なし
m87773929532,48.0,1.0,1.0,2.0,9,1.0,1.0,1.0,1.0,3.0,,,4.0,3.0,5.0,,1.0,,,3.0,,,1.0,6.0,,,1.0,1.0,3.0,1.0,,,3.0,2.0,4.0,,,2.0,,,1.0,0.0,0.0,0.0,特にありません,繋ぐ,特にありません
m87784051984,55.0,1.0,1.0,2.0,9,1.0,1.0,1.0,7.0,4.0,,,4.0,3.0,5.0,6.0,1.0,2.0,6.0,4.0,,,2.0,3.0,4.0,,2.0,3.0,3.0,1.0,,,3.0,2.0,2.0,3.0,6.0,4.0,,,0.0,0.0,0.0,0.0,わかりません,アイデアで生き残る,特にありません
m87782577178,61.0,1.0,1.0,1.0,5,1.0,1.0,1.0,7.0,6.0,,,1.0,8.0,,,4.0,,,4.0,6.0,7.0,2.0,3.0,,,1.0,3.0,3.0,1.0,,,1.0,3.0,2.0,3.0,4.0,3.0,4.0,,0.0,0.0,0.0,0.0,ありません,ありません,分からない
m89778493967,42.0,0.0,0.0,2.0,3,0.0,1.0,1.0,7.0,1.0,,,2.0,8.0,,,7.0,,,4.0,,,3.0,6.0,,,3.0,3.0,3.0,6.0,,,2.0,3.0,8.0,,,2.0,,,0.0,0.0,0.0,1.0,ない,ない,ない
m87789962118,52.0,1.0,1.0,3.0,9,1.0,1.0,1.0,1.0,5.0,,,4.0,3.0,,,5.0,,,1.0,,,3.0,5.0,,,5.0,5.0,3.0,2.0,,,2.0,2.0,2.0,,,4.0,,,0.0,0.0,0.0,1.0,ない,ない,ない
m87773945963,57.0,1.0,0.0,1.0,1,1.0,0.0,2.0,7.0,6.0,,,2.0,8.0,,,5.0,,,6.0,,,3.0,4.0,,,3.0,3.0,3.0,6.0,,,1.0,3.0,8.0,,,6.0,,,0.0,0.0,0.0,0.0,なお,なし,なし
m8778911965,61.0,1.0,1.0,2.0,12,1.0,1.0,1.0,6.0,3.0,4.0,,4.0,2.0,6.0,,3.0,6.0,,2.0,5.0,,4.0,3.0,,,3.0,3.0,3.0,3.0,,,4.0,2.0,4.0,,,2.0,,,1.0,1.0,1.0,0.0,ＡＩの活用,日本にとって重要,わからない
m87884705252,61.0,1.0,1.0,3.0,11,1.0,1.0,1.0,7.0,4.0,,,4.0,2.0,5.0,,2.0,,,2.0,,,3.0,5.0,,,3.0,3.0,3.0,1.0,,,1.0,2.0,4.0,,,5.0,,,0.0,0.0,1.0,0.0,ないです,ないです,ないです
m87789110149,47.0,1.0,1.0,2.0,6,0.0,0.0,2.0,7.0,1.0,,,1.0,1.0,5.0,,3.0,,,1.0,,,3.0,2.0,4.0,,3.0,3.0,3.0,5.0,,,5.0,3.0,4.0,,,1.0,,,0.0,1.0,0.0,0.0,特にはありません,特にはありません,特にはありません
m8931993426,26.0,0.0,0.0,1.0,3,1.0,0.0,1.0,1.0,1.0,,,1.0,6.0,,,6.0,,,1.0,,,3.0,6.0,,,3.0,3.0,3.0,1.0,,,5.0,3.0,4.0,,,1.0,,,0.0,0.0,0.0,0.0,ｍ,ｍ,ｍ
m87788113679,37.0,0.0,0.0,2.0,10,1.0,0.0,1.0,7.0,4.0,,,1.0,5.0,,,1.0,,,5.0,,,3.0,5.0,,,1.0,2.0,3.0,3.0,,,1.0,1.0,1.0,,,2.0,,,0.0,0.0,0.0,0.0,特になし,人材の確保が大事,特になし
m8770067475,53.0,0.0,1.0,1.0,1,0.0,1.0,1.0,5.0,1.0,,,1.0,3.0,,,3.0,,,3.0,,,3.0,2.0,,,3.0,3.0,3.0,4.0,,,1.0,4.0,4.0,,,1.0,,,0.0,1.0,0.0,0.0,わからない,もっと安く良いものを,繋ぐ
m8776623989,60.0,1.0,1.0,1.0,12,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,1.0,,,4.0,,,3.0,6.0,,,3.0,4.0,4.0,3.0,,,4.0,3.0,4.0,,,3.0,,,0.0,0.0,0.0,0.0,なし,なし,なし
m89386526544,62.0,0.0,1.0,1.0,4,0.0,0.0,1.0,1.0,1.0,,,4.0,1.0,,,5.0,,,5.0,,,3.0,4.0,,,2.0,3.0,3.0,4.0,,,1.0,3.0,2.0,,,3.0,,,0.0,0.0,0.0,0.0,特にありません,明るい,見学してみてください
m87773933171,50.0,1.0,0.0,2.0,5,1.0,0.0,1.0,7.0,1.0,,,2.0,5.0,,,2.0,,,3.0,4.0,,2.0,4.0,,,2.0,3.0,3.0,1.0,,,1.0,2.0,2.0,3.0,6.0,5.0,,,0.0,0.0,0.0,0.0,特になし,伝統の継承と時代に合った改革が必要だと思う,特になし
m8770106185,44.0,0.0,0.0,1.0,9,1.0,0.0,2.0,7.0,6.0,,,1.0,8.0,,,7.0,,,8.0,,,2.0,1.0,4.0,6.0,1.0,2.0,6.0,6.0,,,3.0,2.0,3.0,4.0,5.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,なし,継承困難,なし
m8770109559,55.0,1.0,1.0,2.0,12,1.0,1.0,2.0,7.0,5.0,,,1.0,8.0,,,7.0,,,2.0,,,3.0,3.0,,,5.0,3.0,3.0,1.0,,,2.0,4.0,5.0,,,2.0,,,0.0,0.0,1.0,1.0,ありません,ない,ない
m87783232452,46.0,1.0,0.0,2.0,5,1.0,0.0,1.0,1.0,1.0,,,3.0,5.0,,,1.0,2.0,5.0,3.0,4.0,6.0,3.0,2.0,3.0,6.0,3.0,3.0,2.0,1.0,4.0,,1.0,2.0,2.0,3.0,6.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,わからない,わからない,わからない
m87773911839,32.0,0.0,1.0,1.0,6,1.0,1.0,2.0,1.0,1.0,,,3.0,2.0,5.0,,6.0,,,3.0,4.0,,3.0,1.0,,,1.0,2.0,1.0,4.0,,,3.0,3.0,2.0,4.0,,5.0,,,0.0,0.0,0.0,0.0,なし,なし,なし
m89785231477,49.0,1.0,1.0,2.0,9,1.0,1.0,1.0,1.0,1.0,2.0,,3.0,2.0,3.0,6.0,1.0,2.0,6.0,3.0,6.0,7.0,1.0,2.0,4.0,7.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,1.0,2.0,3.0,4.0,1.0,,,0.0,0.0,0.0,0.0,かなりの確率でとっても素晴らしい,すばらしいですね,かなり素晴らしいと思う事です
m89786319127,59.0,1.0,1.0,1.0,7,0.0,1.0,2.0,7.0,1.0,,,2.0,8.0,,,5.0,,,6.0,,,3.0,4.0,,,5.0,6.0,6.0,6.0,,,6.0,3.0,2.0,,,4.0,,,0.0,0.0,0.0,0.0,ない,特になし,なし
m8998500970,58.0,1.0,1.0,2.0,9,1.0,1.0,1.0,7.0,3.0,,,1.0,5.0,,,1.0,2.0,,4.0,5.0,,2.0,2.0,3.0,,2.0,2.0,3.0,4.0,,,3.0,2.0,1.0,,,4.0,,,1.0,0.0,0.0,0.0,特にない,続いていく,特にない
m87773913714,37.0,1.0,1.0,2.0,7,1.0,1.0,2.0,7.0,1.0,,,3.0,1.0,,,1.0,2.0,,3.0,4.0,,2.0,3.0,4.0,7.0,2.0,2.0,2.0,4.0,,,2.0,3.0,2.0,4.0,6.0,1.0,5.0,,0.0,0.0,0.0,1.0,特にない,伝承者がいない,特にない
m899288596,53.0,1.0,1.0,2.0,10,1.0,1.0,1.0,7.0,1.0,5.0,,4.0,3.0,5.0,8.0,2.0,4.0,5.0,3.0,4.0,,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,,3.0,2.0,3.0,4.0,6.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,Ai,必要なもの,技術の習得
m89780802258,52.0,1.0,0.0,1.0,5,1.0,0.0,1.0,1.0,1.0,,,1.0,8.0,,,1.0,,,4.0,,,1.0,3.0,,,3.0,1.0,1.0,4.0,,,1.0,3.0,2.0,,,1.0,,,0.0,0.0,0.0,0.0,無し,なし,なし
m8973049570,57.0,1.0,0.0,2.0,8,1.0,0.0,1.0,1.0,5.0,,,1.0,6.0,,,5.0,,,5.0,6.0,,3.0,4.0,6.0,,3.0,3.0,2.0,3.0,4.0,,1.0,2.0,3.0,5.0,6.0,1.0,4.0,,0.0,0.0,0.0,0.0,特にはありません,しっかりと残していきたい,伝統工芸のよさをわかって欲しい
m8931606205,30.0,1.0,1.0,2.0,7,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,,,4.0,,,1.0,1.0,5.0,,2.0,2.0,1.0,1.0,,,3.0,3.0,1.0,,,2.0,,,1.0,0.0,0.0,0.0,統一教会,安倍晋三,統一教会
m8998537900,42.0,1.0,0.0,2.0,5,0.0,0.0,1.0,7.0,1.0,,,1.0,3.0,,,1.0,,,3.0,,,3.0,2.0,,,3.0,6.0,3.0,6.0,,,3.0,3.0,2.0,,,2.0,4.0,,0.0,0.0,0.0,0.0,わからない。,わからない。,わからない。
m8771890469,57.0,1.0,1.0,2.0,6,1.0,1.0,1.0,5.0,5.0,,,1.0,3.0,,,2.0,,,2.0,4.0,5.0,1.0,3.0,6.0,,1.0,3.0,3.0,1.0,2.0,5.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,特に無し,競争が激しくなる,特に無し
m8996567463,46.0,1.0,1.0,2.0,5,1.0,1.0,2.0,7.0,1.0,,,3.0,1.0,,,1.0,2.0,5.0,1.0,4.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,4.0,,1.0,1.0,1.0,2.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,特になし,若手が入って来ない。,伝統は確実に引き継ぐべきです。
m87773915656,76.0,1.0,1.0,1.0,3,1.0,1.0,1.0,7.0,1.0,,,4.0,3.0,,,1.0,5.0,,4.0,5.0,,1.0,3.0,6.0,,1.0,1.0,2.0,1.0,,,3.0,1.0,2.0,3.0,4.0,2.0,3.0,,0.0,0.0,0.0,0.0,特にない,このままでは衰退する可能性有り。,特にない
m899757641,60.0,1.0,1.0,2.0,12,1.0,1.0,2.0,7.0,1.0,,,1.0,3.0,,,2.0,,,4.0,,,3.0,4.0,,,3.0,3.0,3.0,4.0,,,3.0,3.0,2.0,,,2.0,,,0.0,0.0,0.0,0.0,とくにない,とくにない,特になし
m87768469701,57.0,1.0,1.0,2.0,2,0.0,1.0,2.0,1.0,1.0,,,1.0,8.0,,,5.0,,,7.0,,,5.0,3.0,,,5.0,4.0,3.0,5.0,,,1.0,3.0,6.0,,,3.0,,,0.0,0.0,0.0,0.0,特にない,特にない,特にない
m87773938580,42.0,0.0,1.0,2.0,5,1.0,1.0,1.0,1.0,3.0,,,2.0,2.0,,,2.0,,,7.0,,,1.0,7.0,,,2.0,2.0,1.0,5.0,,,2.0,2.0,1.0,,,4.0,,,1.0,0.0,0.0,1.0,分からない,分からない,分からない
m87789971459,33.0,1.0,1.0,2.0,9,0.0,0.0,2.0,7.0,1.0,,,3.0,1.0,,,1.0,5.0,,3.0,4.0,6.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,,,3.0,3.0,3.0,,,3.0,,,0.0,0.0,0.0,0.0,なはさ,わかりません,食品工場なので職人ではない
m89788392208,50.0,0.0,0.0,2.0,5,0.0,0.0,1.0,1.0,5.0,,,4.0,7.0,,,1.0,,,1.0,,,5.0,2.0,,,5.0,5.0,5.0,3.0,,,4.0,4.0,5.0,,,2.0,,,0.0,0.0,0.0,0.0,なし,なし,なし
m87773917287,58.0,0.0,1.0,1.0,6,1.0,1.0,1.0,1.0,5.0,,,1.0,3.0,6.0,,1.0,2.0,,4.0,5.0,6.0,2.0,2.0,3.0,4.0,2.0,1.0,3.0,4.0,,,3.0,2.0,2.0,3.0,6.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,在庫管理をテクノロジーを活用して効率化したい,若手のたくさんの活躍にかかっている,価格転換をスムーズに行わせて欲しい
m8998906955,71.0,1.0,1.0,1.0,6,1.0,1.0,1.0,7.0,1.0,,,2.0,1.0,,,2.0,,,4.0,,,2.0,3.0,,,2.0,3.0,3.0,5.0,,,3.0,3.0,3.0,,,2.0,,,0.0,0.0,0.0,0.0,特になし,特になし,特になし
m89774196514,43.0,0.0,1.0,2.0,5,1.0,1.0,2.0,7.0,1.0,,,4.0,8.0,,,5.0,,,3.0,,,3.0,4.0,,,3.0,3.0,4.0,5.0,,,1.0,3.0,2.0,,,2.0,,,0.0,0.0,0.0,0.0,特になし,特になし,価格をさげてほしい
m8786819447,42.0,1.0,1.0,2.0,7,1.0,1.0,1.0,1.0,1.0,,,3.0,3.0,5.0,,2.0,5.0,6.0,5.0,6.0,7.0,2.0,3.0,4.0,,2.0,2.0,2.0,5.0,,,3.0,1.0,3.0,4.0,,1.0,2.0,4.0,0.0,0.0,0.0,0.0,ＡIを利用した機械加工。,ＡI利用が増加する。,手作りの重要性をアピールしたい。
m87782711979,42.0,1.0,0.0,2.0,7,1.0,1.0,1.0,7.0,4.0,,,1.0,3.0,7.0,,2.0,4.0,5.0,3.0,4.0,6.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,2.0,5.0,,2.0,2.0,5.0,,,1.0,2.0,3.0,0.0,0.0,0.0,1.0,AIによる製造分析,販売先チャンネルを増やせるチャンス,マーケットは確実に広がると思う
m89777741243,56.0,1.0,1.0,2.0,6,1.0,1.0,1.0,1.0,1.0,,,4.0,8.0,,,2.0,,,4.0,6.0,,4.0,3.0,4.0,,2.0,2.0,2.0,1.0,4.0,,1.0,3.0,2.0,5.0,7.0,1.0,2.0,,0.0,0.0,0.0,0.0,特にありません,伝承はして欲しいです。,技能を磨いて欲しい
m87776103453,55.0,1.0,1.0,2.0,5,1.0,1.0,1.0,5.0,1.0,,,4.0,1.0,,,1.0,,,2.0,,,3.0,7.0,,,3.0,3.0,3.0,4.0,,,1.0,3.0,2.0,,,4.0,,,0.0,0.0,1.0,0.0,ない,ない,ない
m89787558138,45.0,1.0,1.0,2.0,5,1.0,1.0,1.0,7.0,1.0,,,4.0,7.0,,,2.0,,,6.0,,,2.0,4.0,,,3.0,3.0,3.0,2.0,,,2.0,2.0,3.0,,,2.0,,,0.0,0.0,0.0,1.0,特になし,特になし,特になし
m8998762232,54.0,1.0,1.0,2.0,7,1.0,1.0,1.0,1.0,4.0,,,4.0,3.0,,,2.0,,,4.0,5.0,6.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,1.0,,,3.0,2.0,2.0,3.0,6.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,まだ検討できていない,現状を衰退させず維持していく,特にないです
m87773930455,57.0,1.0,1.0,2.0,8,1.0,0.0,2.0,7.0,4.0,,,1.0,8.0,,,5.0,,,5.0,,,1.0,2.0,,,1.0,1.0,1.0,1.0,,,5.0,1.0,5.0,,,2.0,,,0.0,0.0,0.0,0.0,特にない,伝統工芸は厳しい気がする,特にない
m8772377654,59.0,1.0,1.0,2.0,11,1.0,1.0,1.0,7.0,6.0,,,4.0,7.0,,,5.0,,,3.0,4.0,5.0,3.0,7.0,,,3.0,3.0,3.0,5.0,,,3.0,4.0,3.0,,,5.0,,,0.0,0.0,0.0,0.0,ない,ない,ない
m89786641226,54.0,1.0,1.0,2.0,5,0.0,1.0,1.0,1.0,1.0,,,3.0,6.0,,,1.0,2.0,3.0,1.0,4.0,5.0,1.0,1.0,3.0,5.0,1.0,3.0,3.0,2.0,4.0,,3.0,1.0,1.0,3.0,7.0,1.0,2.0,,0.0,1.0,0.0,0.0,技術マニュアルに限界がありますので、OJTの定着化を併用した取り組みが必要と考えています。,先は難色を感じていますが、お客様に興味、喜んでもらえる商品の創出に努力を惜しまなく継続するしかないと思います。,今後も引き続き期待頂き､発展させて参ります。
m87764697416,51.0,1.0,1.0,2.0,11,1.0,1.0,1.0,7.0,5.0,,,4.0,3.0,,,1.0,,,3.0,,,1.0,2.0,,,1.0,1.0,5.0,1.0,,,5.0,1.0,2.0,,,1.0,2.0,3.0,0.0,0.0,0.0,0.0,ロボティクス,軽食活動必須,とくになし
m87778973394,39.0,1.0,1.0,2.0,12,1.0,1.0,1.0,7.0,6.0,,,3.0,3.0,7.0,,1.0,2.0,5.0,4.0,,,1.0,2.0,3.0,5.0,1.0,1.0,2.0,4.0,,,3.0,1.0,1.0,2.0,3.0,3.0,,,0.0,0.0,0.0,0.0,ない,労働者減少の対応が必要,ない
m877684960,55.0,1.0,0.0,2.0,6,1.0,0.0,1.0,2.0,3.0,,,1.0,3.0,,,2.0,,,4.0,,,3.0,6.0,,,3.0,3.0,3.0,4.0,,,3.0,3.0,3.0,,,3.0,,,1.0,0.0,0.0,0.0,特になし,特になし,特になし
m8774770424,28.0,1.0,1.0,2.0,5,1.0,1.0,2.0,1.0,3.0,,,1.0,1.0,,,6.0,,,5.0,,,5.0,3.0,,,4.0,3.0,4.0,5.0,,,3.0,2.0,3.0,,,5.0,,,1.0,0.0,0.0,0.0,なし,かし,なし
m8835856252,46.0,1.0,0.0,2.0,8,0.0,0.0,1.0,1.0,1.0,,,4.0,2.0,,,4.0,5.0,,4.0,6.0,,3.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,4.0,,3.0,3.0,3.0,4.0,6.0,2.0,4.0,,0.0,0.0,0.0,0.0,なし,厳しい現状だが、若手への技能伝承を薦めたい,精密な製品を見てほしい
m87776094461,58.0,1.0,1.0,2.0,1,1.0,0.0,1.0,7.0,3.0,,,2.0,3.0,,,2.0,,,4.0,,,4.0,3.0,,,2.0,3.0,2.0,5.0,,,3.0,3.0,2.0,,,1.0,,,1.0,0.0,0.0,0.0,特にありません。,かなり厳しいです。,特にありません。
m8932855110,42.0,1.0,1.0,2.0,11,1.0,1.0,1.0,7.0,6.0,,,3.0,8.0,,,5.0,,,6.0,,,2.0,5.0,,,1.0,2.0,3.0,5.0,,,4.0,2.0,2.0,,,5.0,,,0.0,0.0,0.0,0.0,AI技術,若手の育て方,伝統工芸を守る
m87777042397,48.0,1.0,1.0,2.0,5,1.0,1.0,1.0,1.0,2.0,,,2.0,2.0,,,1.0,,,6.0,,,1.0,1.0,,,2.0,2.0,2.0,4.0,,,4.0,1.0,2.0,,,3.0,,,0.0,0.0,0.0,0.0,分からない,分からない,分からない
m89386025880,25.0,1.0,0.0,2.0,1,0.0,0.0,2.0,7.0,6.0,,,1.0,8.0,,,7.0,,,8.0,,,3.0,8.0,,,5.0,6.0,6.0,6.0,,,6.0,5.0,8.0,,,6.0,,,0.0,0.0,0.0,0.0,なし,なし,なし
m8776095878,60.0,1.0,0.0,2.0,7,0.0,0.0,1.0,7.0,3.0,,,1.0,3.0,,,2.0,,,5.0,,,3.0,1.0,,,3.0,3.0,3.0,2.0,,,3.0,2.0,4.0,,,3.0,,,1.0,0.0,0.0,0.0,特になし,後継者不足が問題,品質重視である
m8778259608,61.0,1.0,1.0,2.0,13,1.0,1.0,1.0,7.0,4.0,,,1.0,5.0,,,4.0,,,4.0,5.0,,2.0,3.0,4.0,,2.0,2.0,2.0,1.0,,,3.0,2.0,3.0,6.0,,3.0,4.0,,0.0,0.0,0.0,0.0,特になし,積極的な支援が必要,特になし
m8776510158,51.0,1.0,0.0,2.0,4,0.0,0.0,1.0,7.0,6.0,,,4.0,8.0,,,1.0,2.0,6.0,1.0,4.0,7.0,2.0,3.0,,,3.0,3.0,3.0,1.0,,,3.0,2.0,2.0,3.0,4.0,1.0,,,0.0,0.0,0.0,0.0,今のところ分からない。,若手絵の伝承が今後の課題,高くても手に取ってみてほしい。
m899787981,68.0,1.0,1.0,1.0,7,1.0,1.0,1.0,7.0,3.0,,,4.0,3.0,,,1.0,2.0,,4.0,6.0,,2.0,3.0,4.0,7.0,1.0,2.0,2.0,3.0,,,3.0,2.0,1.0,2.0,4.0,2.0,3.0,,1.0,0.0,0.0,0.0,AI導入による類似物件の自動設計を導入。,ところ変われば品代わるで、多種多様化が進んでいく。,職人の給料が安い。
m87773948908,63.0,1.0,0.0,2.0,4,0.0,0.0,1.0,7.0,1.0,,,1.0,1.0,,,1.0,,,4.0,6.0,,3.0,3.0,,,2.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,,,6.0,,,0.0,0.0,0.0,0.0,とくにありません,とくにありません,とくにありません
m89788373224,51.0,0.0,0.0,2.0,3,0.0,0.0,1.0,6.0,1.0,,,4.0,5.0,,,5.0,,,5.0,,,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,,,3.0,3.0,2.0,,,2.0,,,0.0,0.0,0.0,0.0,特になし,特になし,特になし
m8774581877,25.0,1.0,0.0,2.0,5,1.0,0.0,1.0,7.0,1.0,,,2.0,1.0,,,2.0,,,7.0,,,2.0,3.0,,,3.0,3.0,3.0,2.0,,,3.0,1.0,2.0,,,4.0,,,0.0,0.0,0.0,0.0,iPhone,iPhone,iPhone
